"MATR_ALUNO";"COD_CURSO";"ANO";"PERIODO";"COD_ATIV_CURRIC";"NOME_ATIV_CURRIC";"CREDITOS";"MEDIA_FINAL";"DESCR_SITUACAO";"TOTAL_CARGA_HORARIA";"FORMA_INGRESSO";"ANO_INGRESSO";"FORMA_EVASAO";"ANO_EVASAO";"SEXO"
"50a5e500025de2d42e9bfef2cdd6074587cdf7ad3d80ee770b6fbb9cbfbb8bb87ab181f16f42cf4a878edd99a2d7ad416bfaf2bcb54915e17a99a86dd0a46f6c87181f4dda43983ea7237ca8573f74fa5f0bbfc7f9f3ff045140ba0186878324b15646125fca7d50c4f9afd41d35bfae19030992e3a07e525e76e39d5789c8d5ad04d9a77b507f6329c60c324325f1f288311cbadd4cc7568f43e9d6453b47fee4ab9326276816e965b24c09d8c08b17c047159bda41ffc311172a3f8121d9fa5efc7276cc285d1cac51e01f0d171074e19965a94a853bb8a5873d9bc0d9c39d1ae371d20f0d006c3ba91d2bb81c729470ba5e21921f19936ae2b6e11edb94a0";"BALF";2014;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;1.7;"Reprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2013;"Transf. Interna Por Reopção de Curso";2018;"F"
"976cdbcd568a05d3ebbbf423276b709beaa2d4603c51e03aa1dcb5a1127675fa626911696c9300da8f06c5b8e2ca2d3fef621544d7a4ef54e6c7d8a062e73a8f76bf9272d0ce2f8fb909dba84a91b822fccd879623883ae64090336e810f0a2ad4a29293819aa747eca1b4f988a6a8e91a7f559afe15dddc1800009896c2967819147dc2907f90eac86adcbaabaa738ae176145eaf8dd032f5a6430927b62311185beb9d75162f81475de403e6d4dfb0cdd3f086083fb5dbfde11908ab77ad753785c518cca9cebc166fc7baa2ce4cb183010ee2f5834cc5f085c96956bed030ca3c4cb064eeb5429bfc7dd5ee697f9efe11cca9caf186d61849f411e458cd2a";"BALF";2015;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6;"Aprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2013;"Transf. Interna Por Reopção de Curso";2018;"F"
"ea51f0d7c29fa5271d8a2667cd6d035f3e62c517a431405c23cf03f4daf54bac511a3184fe4ab9769b0c6e0805a446a8eb709db43c2bed8231f7e5c4ac182a02b1de421459c58dcf59303872b0bb58388ae9c8abfec8331436894b78ef4ab574d16c1b640d7cb838fa13dd9a7446c25c463bfa1be2153fe4c5f416cf81afb08533f82ff9ac05821b158c9eee2f53235ca703d8ab5eaf7a623083608c3a5672f50089627372691cf1025422a27ad4a10a0d3bea166eed028add01217fa3a60170fad5844559df1c314ae15e9adb2d4b31c35682ea4851f64a853bb022310171ff4e5eb9685a1443617446f4e47bdad1258dd8e9f671458ac2580fa5349755d402";"BALF";2014;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;3.8;"Reprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2014;"Cancelamento";2016;"F"
"1647dd92af1234728d99f5191cef2c25d2ee7fc575c6c3954289694bee65c84164b51e396d802ea54538218b2302f4d54aed1ef8ce19d15273a91cc88eaed6fa355d1410daa38a73382f6379651a7c36162577c768c17757046032b35e56a54f13a1351347708ea7176c75162cf11c41ea63ef3db64fe2d88e11ec027387fabe96f586cf2fe87c8fb412e9f66e7b53803b08c1ecc851af75120a4e2f6209ece80c0ecc2d2deb9ccaba940dd56a62a16a421a37b00bf37b5e35b9126d6f7b5609338ad11397de0925a854141becc0666badd3fe9e8b980b87f8cc4f49a7234450ec69029c2413d177253696b0d97ed02679e970a69c54f1b51f6a2bbf38df100d";"BALF";2015;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;1.5;"Reprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2014;"Transf. Interna Por Reopção de Curso";2016;"F"
"0821edbed6b5c8002ee5978dc61254900175526bac431c98578781cbfcde110fcec1781806a8773e806509cd78e93c24738c9543712307d717cfb878c4931aed2a94a60dd73c42745db3ad06f1871f0879f153f041fdb24a75285132d23c9378c742091527bee685e7af4ef41b7e4ac12a4bbe8fa888703e474c6e2956c12e725561918784478ba2e5aed7499059e2690fbf62ba13e2e96f56a5f900670663348b1d515d205809bf8bbbd39cb63fac257595a6fc7b04cef559dcf186926d9f8cb1dea593cda0ea9ab1e1bdee79788ff8f664bb23865522435ab25fe51b7a88a59aacf65b341ad5138df77af5dead7bb2daa17f57c07a43e7c335b55667446eaf";"BALF";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0.6;"Reprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2014;"Transf. Interna Por Reopção de Curso";2016;"F"
"269c75f2668073ad3b70f382528024c20b216ba44f4003a7d2e2e769cd9b03d2d73d60e73ae81d4025265cde3a86aa503ceeb31d6ee546d1276401d981e84e765e64381a639ed5274d6678c7fca10ba0cf929773cf4fc9b0bc4b36ba0f5c3f0112c7f822f143c9709edfabab0ca33ab7e47ebbfcc05a267578fdde0635488b50da087eaaa7e3b4e4f528d9800d4094677179c3a763930f40c3f208b0c04ce31ffa468f1a107d9390b34968763f9893d2a7b872aa14a7170f60dd9cf7ad2d73e4b107abe81412b791fd2df1d5c25d6af07b198d3cd9073c607c7491fda118bb798c1ce7ddd46e7329702e021d3f7a32d6cba825df4cbc65646b4f68839f3cca7d";"BALF";2015;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6.2;"Aprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2014;"Formado";2018;"M"
"6ecc89805cdf89f4965ec3d290ad391dcd75814d2809ea3071f76b1be8e368dcccdb1ff3109d525efc0e2b72f8cbaa0c2a9a0bc1510ce5401dff2bca8ab94e924b912a14410b80dd46fc2d082d082c605e249834d9c621eb8cf8b21b6a1033c541b0bcce7586bacad7ba8fa2228378a9475a65d20ed999f8bb44afc1b333651756467180298795963d62f5cc854a14865b77a22a061fdb53b2e363ceae1ceb68d4b9989324409ed5cf1a7adb5fd99190e102e576547d1e1e78c48d373a97fdbde182cb4b15b33b953503345bdb27b6afdba036032099d3490977314e61a5f04cbd754c9e17f61a28df09fae287a49d49da7deb79aef677ce9c27d8ef3ce4cbd4";"BALF";2018;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;1e+06;"Trancamento parcial";60;"ENEM - Exame Nacional do Ensino Médio";2014;"Aluno Regular";NA;"M"
"eeb93eebd70d082b7ec954e2e5eb9b2f45547da34be0ae7ca148a1dad23c7864a33973efc9a1565aca62e23165f72f3cf581ab7ed24671752288166537cf32150a32740b17862ffb3381ce74dec834f4ace51266d86332d77a31d2f576060819c122a479fbb51ec9a049c2255b2e922b513eb680166443dca810792240d1cc37222234b02cca5fbcc3d2bb86b45e3308880980de43c32b623da23f7680330b72266cda5f81e900a16fe4a807251d6ca6e1e87bfa3ddbcef54b2f88ec51cbd89f12cb9ab84bacc3460669dcf5e9d627f83033bc0b114cc65563588e99d5176432bc40156a91ddfaee02bce6a3e81e07ea8b26ff10d8212d589652c1b91531fdaa";"BALF";2015;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";60;"ENEM - Exame Nacional do Ensino Médio";2014;"Cancelamento";2016;"F"
"c34fa8c900bb9c2433650921ee6530e5107912c116564c4749caf6d616e608522edbe9cffb61f04d0eeaec2bd3bce95e0cd23dcc027e437bc2fa115a0a34ede7c1a89fc57b1927318d4fcaecc58031418ff5690e97d4342c6065ffdc8e67e34cdb63a8bb387097dd86e1b23a7dff8a0ae611c37d93ae37d5e0df286d9ad5930a30554817959dec153920b562352b85190414c1d812328cba76a9e93f022f0a3c784d6aecfd503845c3e1cd57bc95f93fd08b5d64b83783d145d8c59ede0823656b9e8c8751372a279c7534a3d3f29ad6779b5fef7b56fc4ae627a3e7ba306ecb53f23ef6f55319f1a4cf3c2f270132b2f44dc3cfcd6ca181e332da93c0ac51d1";"BALF";2016;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;1e+06;"Dispensado sem nota";60;"Reopção - Mobilidade Interna (para curso/habilitação área relacionada)";2014;"Formado";2016;"M"
"0b2cf94e842be059a0e5cfb3fc112f5b6bd57354dcec6c5e2ffcb62631415894527ad866fef2e0ef63dceb374d19830ca7dff83cf0ab655eb677e41bc35604dc2bd4c13bc988477f60d13176d3a70217020ddbeec766d4a6a769707ec7cfadbbb753266f12d674e328fa3f670937de8a59f4e45332f09a63ce4a9afb702aaf3c4190663d62f7bb68f3d42f69363f5474d50b5d695fcd39c5789796a66cf3a349b32ecd0fca662116a2494dc515d22df826efe568a29a6392bc6252d1a4e3ff8f73f7654c3592d4719041f866c16b842e57421501ab712837c6cc6f41a8f85e671077324ec4ddb711b8105b70e40f438e6e396b19c587ce95f96cdf4ea615049d";"BALF";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;1e+06;"Dispensado sem nota";60;"Reopção - Mobilidade Interna (para curso/habilitação área relacionada)";2014;"Formado";2016;"M"
"a05120ec385f2fed6974e64ca6f50c0d4b86cb4597f189abd0087c19c5c020e67c3fd83028a503e4360ec4f4ed2cfa1ec47ba7465f3c67f240bb3f98cef01020263a994b4126722b93329d2b3a55a2ce095f0893defd3735d40a27b111d1ed1992ff5f18ec5de30d84deeb0b786e5cdbbb49fbe175ed2ebacef05cd8735ec8e03202fc908432557ddfa2138c6fe32e1c813fa3bbeb923b8b0f9df1d4e9960e5fa5d8dc0628f626892f7e0f485ffd7571365d57c2a495912a0e15247f452f0c78a354aa8ebee1dfd6c162b217a61709fcab02555e2d631c1275ad0935a5f6ace62cbd6519a0421fc56b9ed8057435b3c9c587804bb06792d661a0e858070a5090";"BALF";2019;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;1e+06;"Trancamento parcial";60;"ENEM - Exame Nacional do Ensino Médio";2015;"Aluno Regular";NA;"F"
